"http://dbpedia.org/ontology/VideoGame";"http://dbpedia.org/class/yago/VideoGameDevelopers";"http://dbpedia.org/class/yago/VideoGamePuBlishers"
"Bakugan: Defenders of the Core";"Nowpro, Nelvana";"Activision"
"Balloon Pop";"Dreams";"UFO Interactive"
"Band Hero";"Vicarious Visions";"Activision"
"Barbie: Groom and Glam Pups";"Game Machine Studios";"THQ"
"Barbie as the Island Princess";"Ivolgamus";"Activision"
"Barnyard";"Blue Tongue Entertainment";"THQ"
"Baroque";"Sting Entertainment";"Rising Star Games"
"Basketball Hall of Fame: Ultimate Hoops Challenge";"Collision Studios";"Zoo Games"
"Bass Pro Shops: The Hunt";"Piranha Games";"XS Games, Jack of All Games"
"Bass Pro Shops: The Strike";"Piranha Games";"XS Games, Jack of All Games"
"Batman: The Brave And The Bold";"WayForward Technologies";"Warner Bros. Interactive Entertainment"
"Battalion Wars 2";"Kuju Entertainment";"Nintendo"
"Battle of Giants: Dinosaurs Strike";"Ubisoft Montreal";"Ubisoft"
"Battle of the Bands";"Planet Moon Studios";"THQ"
"Battleship";"Magic Pockets";"Activision"
"The Beatles: Rock Band";"Pi Studios";"MTV Games"
"Bee Movie Game";"Smart Bomb Interactive";"Activision"
"Ben 10: Protector of Earth";"High Voltage Software";"D3 Publisher"
"Ben 10: Alien Force";"Monkey Bar Games";"D3 Publisher"
"Ben 10 Alien Force: Vilgax Attacks";"Papaya Studio";"D3 Publisher"
"Ben 10 Ultimate Alien: Cosmic Destruction";"Papaya Studio";"D3 Publisher"
"Ben 10: Omniverse";"Vicious Cycle Studios";"D3 Publisher"
"Big Beach Sports";"HB Studios";"THQ"
"Big Beach Sports 2";"Jet Black Games";"THQ"
"Big Brain Academy: Wii Degree";"Nintendo EAD Group No. 4";"Nintendo"
"Big Catch Bass Fishing 2";"505 Games";"505 Games"
"The Biggest Loser";"Blitz Games";"THQ"
"The Biggest Loser Challenge";"Blitz Games";"THQ"
"Big League Sport";"Koolhaus Games";"Activision"
"Bigfoot: Collision Course";"Q90 Games";"Zoo Games"
"The Bigs";"Blue Castle Games";"2K Sports"
"The Bigs 2";"Blue Castle Games";"2K Sports"
"Big Time Rush: Dance Party";"GameMill Entertainment";"TBA"
"Billy the Wizard: Rocket Broomstick Racing";"Data Design Interactive";"Conspiracy Entertainment"
"Bionicle Heroes";"Traveller's Tales";"Eidos Interactive"
"Birthday Party Bash";"Cat Daddy Games";"2K Play"
"Blast Works: Build, Trade, Destroy";"Budcat Creations";"Majesco"
"Blazing Angels: Squadrons of WWII";"Ubisoft Romania";"Ubisoft"
"Bleach: Shattered Blade";"Polygon Magic";"Sega"
"Bleach VS Crusade";"Treasure";"Sega"
"Block Party: 20 Games";"Ivolgamus";"Activision"
"Bomberman Land Wii";"Hudson Soft, Racjin";"Konami"
"Boogie";"EA Montreal";"Electronic Arts"
"Boogie Superstar";"EA Montreal";"Electronic Arts"
"Boom Blox";"EA Los Angeles, Amblin Entertainment";"Electronic Arts"
"Boom Blox Bash Party[5]";"EA Los Angeles, Amblin Entertainment";"Electronic Arts"
"Boot Camp Academy";"Zoo Games";"Green Screen Games"
"Bratz Kidz: Slumber Party";"Neko Entertainment";"The Game Factory"
"Bratz: The Movie";"Blitz Games";"THQ"
"Brave: A Warrior's Tale";"Collision Studios";"SouthPeak Interactive"
"Broken Sword: The Shadow of the Templar (Director's Cut)";"Revolution Software";"Ubisoft"
"Brothers in Arms: Double Time";"Gearbox Software, Demiurge Studios";"Ubisoft"
"Brunswick Zone Cosmic Bowling";"CokeM Interactive";"Game Mill Entertainment"
"Brunswick Pro Bowling";"Point of View, Inc.";"Crave Entertainment"
"Burger Bot";"Rhino Group";"Virtual Play Games"
"Bully: Scholarship Edition";"Rockstar Toronto";"Rockstar Games"
"Bust-A-Move Bash!";"Taito, Happy Happening";"Majesco"
"Busy Scissors";"Manifest Oranj, Game Machine Studios";"Little Orbit"
"Cabela's Big Game Hunter";"Magic Wand Productions";"Activision"
"Cabela's Big Game Hunter 2010";"Cauldron";"Activision"
"Cabela's Dangerous Hunts 2009";"Magic Wand Productions";"Activision"
"Cabela's Dangerous Hunts 2011: Special Edition";"Cauldron";"Activision"
"Cabela's North American Adventures 2011";"Fun Labs";"Activision"
"Cabela's Outdoor Adventures 2010";"Fun Labs";"Activision"
"Cabela's Trophy Bucks";"Magic Wand Productions";"Activision"
"The Cages: Pro Style Batting Practice";"Alpha Unit";"Konami"
"Cake Mania: In the Mix!";"Sandlot Games";"Majesco"
"Call for Heroes: Pompolic Wars";"Data Design Interactive";"Data Design Interactive"
"Call of Duty 3";"Treyarch";"Activision"
"Call of Duty: Black Ops";"Treyarch";"Activision"
"Call of Duty: Modern Warfare 3";"Treyarch";"Activision"
"Call of Duty: Modern Warfare: Reflex Edition";"Treyarch";"Activision"
"Call of Duty: World at War";"Exakt Entertainment";"Activision"
"Calvin Tucker's Redneck Jamboree";"Humagade";"Zoo Games"
"Calling";"Hudson Soft";"Hudson Soft"
"Canada Hunt";"Rhino Group";"Virtual Play Games"
"Candace Kane's Candy Factory";"Destineer";"Destineer"
"Captain America: Super Soldier";"Next Level Games";"Sega"
"Captain Rainbow";"Skip";"Nintendo"
"Carnival Games";"Cat Daddy Games";"Global Star Software"
"Cars";"Rainbow Studios";"THQ"
"Cars 2: The Video Game";"Avalanche Software";"THQ"
"Cars Mater-National Championship";"Rainbow Studios";"THQ"
"Cars Race-O-Rama";"Incinerator Studios";"THQ"
"Cars Toon: Mater's Tall Tales";"Papaya Studio";"Disney Interactive"
"Case Closed: The Mirapolis Investigation";"Marvelous Entertainment";"Marvelous Entertainment"
"Castlevania Judgment";"Konami";"Konami"
"Cate West: The Vanishing Files";"Gamenauts";"Destineer"
"Celebrity Sports Showdown";"EA Canada";"Electronic Arts"
"Chaotic: Shadow Warriors";"FUN Labs";"Activision"
"Charm Girls Club: Pajama Party";"EA Games";"Electronic Arts"
"Chess Crusade";"Slam Games";"Destineer Entertainment"
"Chicken Shoot";"Frontline Studios";"Destination Software"
"The Chronicles of Narnia: Prince Caspian";"Traveller's Tales";"Disney Interactive Studios"
"Chibi-Robo!";"Skip";"Nintendo"
"Chrysler Classic Racing";"Extra Mile Studios";"Zoo Games"
"Chuck E. Cheese's Party Games";"Tommo";"UFO Interactive"
"Chuck E. Cheese's Sports Games";"Tommo";"UFO Interactive"
"CIty Builder";"Collision Studios";"Virtual Play Games"
"Classic British Motor Racing";"Data Design Interactive";"Data Design Interactive"
"Cloudy With A Chance Of Meatballs";"Ubisoft Shanghai";"Ubisoft"
"Club Penguin: Game Day!";"Artoon";"Disney Interactive"
"Cocoto Magic Circus";"Neko Entertainment";"Conspiracy Entertainment"
"Cocoto Kart Racer";"Neko Entertainment";"Conspiracy Entertainment"
"Code Lyoko: Quest for Infinity";"Taffy Entertainment";"The Game Factory"
"The Conduit";"High Voltage Software";"Sega"
"(Title)";"(Developer)";"(Publisher)"
