"http://dbpedia.org/ontology/Automobile";"http://dbpedia.org/ontology/Company"
"Ferrari 250 SWB Berlinetta";"RM Auctions"
"Porsche RS60";"Goodings & Company"
"Ferrari 250 GT LWB California";"Goodings & Company"
"De Dion, Bouton et Trépardoux Dos-à-Dos Steam Runabout La Marquise";"Goodings & Company"
"Maserati Tipo 61";"RM Auctions"
"Mercedes-Benz SSK Roadster";"Artcurial"
"Ferrari Dino 206SP";"RM Auctions,Sotheby's"
"Duesenberg SJ Roadster";"Gooding & Company"
"Delahaye Type 175S Roadster";"RM Auctions"
"Oldsmobile Limited Five-Passenger Touring";"RM Auctions"
"McLaren F1";"Gooding & Company"
"Porsche 911 Carrera RSR Turbo 2.14";"Goodings & Co."
"Oldsmobile F-88";"Barrett-Jackson"
"Ferrari 512M";"RM Auctions,Sotheby's"
"Ferrari F2004";"Sotheby's"
"Ferrari 250 GT LWB Tour de France";"RM Auctions"
"Packard Twelve Runabout Speedster";"RM Auctions"
"Bugatti Veyron 16.4 Grand Sport";"Gooding & Company"
"Ferrari 250 GT LWB Berlinetta Tour de France";"Gooding & Company"
"Ferrari 340 MM Competition Spyder";"RM Auctions,Sotheby's"
"Bugatti Type 18 5-litre Sports Two-seater";"Bonhams"
"Mercedes-Benz 540K Spezial Coupe";"RM Auctions"
"Pontiac Bonneville Special";"Barrett-Jackson"
"(Car)";"(Auctioneer)"
