"Czech Republic";"Kde domov můj?";"Josef Kajetán Tyl";"František Škroup"
"Denmark";"Der er et yndigt land";"Adam Oehlenschläger";"Hans Ernst Krøyer"
"Djibouti";"Djibouti";"Aden Elmi";"Abdi Robleh"
"Dominica";"Isle of Beauty, Isle of Splendour";"Wilfred Oscar Morgan Pond";"Lemuel McPherson Christian"
"Dominican Republic";"Himno Nacional";"Emilio Prud'Homme";"Jose Rufino Reyes Siancas"
"East Timor";"Pátria";"Francisco Borja da Costa";"Afonso de Araujo"
"Ecuador";"Salve, Oh Patria";"Juan León Mera";"Antonio Neumane"
"Egypt";"Bilady, Bilady, Bilady";"Mohamed Younis Al-Qady";"Sayed Darwish"
"El Salvador";"Himno Nacional de El Salvador";"Juan José Cañas";"Juan Aberle"
"Equatorial Guinea";"Caminemos pisando las sendas de nuestra inmensa felicidad";"Atanasio Ndongo Miyone";"Ramiro Sánchez Lopes"
"Eritrea";"Ertra, Ertra, Ertra";"Solomon Tsehaye Beraki";"Isaac Abraham Meharezghi and Aron Tekle Tesfatsion"
"Estonia";"Mu isamaa, mu õnn ja rõõm";"Johann Voldemar Jannsen";"Fredrik Pacius"
"Ethiopia";"Wodefit Gesgeshi, Widd Innat Ityopp'ya";"Dereje Melaku Mengesha";"Solomon Lulu Mitiku"
"Fiji";"Meda Dau Doka";"Michael Francis Alexander Prescott";"Charles Austin Miles"
"Finland";"Maamme";"Johan Ludvig Runeberg";"Fredrik Pacius"
"France";"La Marseillaise";"Claude Joseph Rouget de Lisle";"Claude Joseph Rouget de Lisle"
"Gabon";"La Concorde";"Georges Aleka Damas";"Georges Aleka Damas"
"The Gambia";"For The Gambia Our Homeland";"Virginia Julie Howe";"Jeremy Frederick Howe"
"Georgia";"Tavisupleba";"David Magradze";"Zakaria Paliashvili"
"Germany";"Deutschlandlied";"August Heinrich Hoffmann von Fallersleben";"Joseph Haydn"
"Ghana";"God Bless Our Homeland Ghana";"Michael Kwame Gbordzoe";"Philip Gbeho"
"Greece";"Ýmnos eis tīn Eleutherían";"Dionýsios Solomós";"Nikolaos Mantzaros"
"Grenada";"Hail Grenada";"Irva Merle Baptiste";"Louis Arnold Masanto"
"Guatemala";"Himno Nacional de Guatemala";"José Joaquín Palma";"Rafael Álvarez Ovalle"
"Guinea";"Liberté";"Unknown";"Kodofo Moussa"
"Guinea-Bissau";"Esta É a Nossa Pátria Bem Amada";"Amílcar Cabral";"Xiao He"
"Guyana";"Dear Land of Guyana, of Rivers and Plains";"Archibald Leonard Luker";"Robert Cyril Gladstone Potter"
"Haiti";"La Dessalinienne";"Justin Lhérisson";"Nicolas Geffrard"
"Honduras";"Himno Nacional de Honduras";"Augusto Constancio Coello";"Carlos Hartling"
"Hungary";"Himnusz";"Ferenc Kölcsey";"Ferenc Erkel"
"Iceland";"Lofsöngur";"Matthías Jochumsson";"Sveinbjörn Sveinbjörnsson"
"India";"Jana Gana Mana";"Rabindranath Tagore";"Rabindranath Tagore"
"Indonesia";"Indonesia Raya";"Wage Rudolf Supratman";"Wage Rudolf Supratman"
"Iran";"Soroud-e Melli-e Jomhouri-e Eslami-e Iran";"multiple";"Hassan Riyahi"
"Iraq";"Mawtini";"Ibrahim Touqan";"Mohammed Flayfel"
"Ireland";"Amhrán na bhFiann";"Peadar Kearney";"Peadar Kearney and Patrick Heeney"
"Israel";"HaTikvah";"Naftali Herz Imber";"Samuel Cohen"
"Italy";"Il Canto degli Italiani";"Goffredo Mameli";"Michele Novaro"
"Jamaica";"Jamaica, Land We Love";"Hugh Sherlock";"Robert Lightbourne"
"Japan";"Kimigayo";"Traditional";"Hiromori Hayashi"
"Jordan";"Al-salam Al-malaki Al-urdoni";"Abdul Monem Al-Refai";"Abdul Qader al-Taneer"
"Kazakhstan";"Meniñ Qazaqstanım";"Zhumeken Nazhimedenov";"Shamshi Kaldayakov"
"Kenya";"Ee Mungu Nguvu Yetu";"Graham Hyslop, G. W. Senoga-Zake, Thomas Kalume, Peter Kibukosya, and Washington Omondi";"The Anthem Commission"
"Kiribati";"Teirake Kaini Kiribati";"Urium Tamuera Ioteba";"Urium Tamuera Ioteba"
"North Korea";"Aegukka";"Pak Seyŏng";"Kim Wŏn'gyun"
"South Korea";"Aegukga";"uncertain";"Ahn Eak-tae"
"Kuwait";"Al-Nasheed Al-Watani";"Ahmad Meshari Al-Adwani";"Ibrahim Al-Soula"
"Kyrgyzstan";"Kyrgyz Respublikasynyn Mamlekettik Gimni";"Djamil Sadykov and Eshmambet Kuluev";"Nasyr Davlesov and Kalyi Moldobasanov"
"Laos";"Pheng Xat Lao";"Sisana Sisane";"Thongdy Sounthonevichit"
"Latvia";"Dievs, svētī Latviju!";"Kārlis Baumanis";"Kārlis Baumanis"
"Lebanon";"Lebanese National Anthem";"Rashid Nakhle";"Wadih Sabra"
"Lesotho";"Lesotho Fatse La Bontata Rona";"François Coillard";"Ferdinand-Samuel Laur"
"Liberia";"All Hail, Liberia, Hail!";"Daniel Bashiel Warner";"Olmstead Luca"
"Libya";"Libya, Libya, Libya";"Al Bashir Al Arebi";"Mohammed Abdel Wahab"
"Liechtenstein";"Oben am jungen Rhein";"Jakob Josef Jauch";"unknown"
"Lithuania";"Tautiška giesmė";"Vincas Kudirka";"Vincas Kudirka"
"Luxembourg";"Ons Heemech";"Michel Lentz";"Jean Antoine Zinnen"
"Macedonia";"Denes nad Makedonija";"Vlado Maleski";"Todor Skalovski"
"Madagascar";"Ry Tanindrazanay malala ô!";"Pasteur Rahajason";"Norbert Raharisoa"
"Malawi";"Mulungu dalitsa Malaŵi";"Michael-Fredrick Paul Sauka";"Michael-Fredrick Paul Sauka"
"Malaysia";"Negaraku";"multiple";"Perak"
"Maldives";"Gaumii salaam";"Muhammad Jameel Didi";"Pandit Wannakuwattawaduge Don Amaradeva"
"Mali";"Pour l'Afrique et pour toi, Mali";"Seydou Badian Kouyate";"Banzumana Sissoko"
"Malta";"L-Innu Malti";"Dun Karm Psaila";"Robert Samut"
"Marshall Islands";"Forever Marshall Islands";"Amata Kabua";"Amata Kabua"
"Mauritania";"National anthem of Mauritania";"Baba Ould Cheikh";"Tolia Nikiprowetzky"
"Mauritius";"Motherland";"Jean Georges Prosper";"Philippe Gentil"
"Mexico";"Himno Nacional Mexicano";"Francisco González,Bocanegra";"Jaime Nunó"
"Federated States of Micronesia";"Patriots of Micronesia";"unknown";"traditional German song"
"Moldova";"Limba noastră";"Alexei Mateevici";"Alexandru Cristea"
"Monaco";"Hymne Monégasque";"Louis Notari";"Charles Albrecht"
"Mongolia";"Mongol ulsiin töriin duulal";"Tsendiin Damdinsüren";"Bilegiin Damdinsüren and Luvsanjyamts Murdorj"
"Montenegro";"Oj, svijetla majska zoro";"folk song";"Žarko Mirković"
"Morocco";"Hymne Chérifien";"Ali Squalli Houssaini";"Léo Morgan"
"Mozambique";"Pátria Amada";"Salomão J. Manhiça";"unknown"
"Namibia";"Namibia, Land of the Brave";"Axali Doëseb";"Axali Doëseb"
"Nauru";"Nauru Bwiema";"Margaret Hendrie";"Laurence Henry Hicks"
"Nepal";"Sayaun Thunga Phool Ka";"Byakul Maila";"Amber Gurung"
"Netherlands";"Wilhelmus";"unknown";"Adrianus Valerius"
"New Zealand";"God Defend New Zealand";"Thomas Bracken";"John Joseph Woods[note 8]"
"Nicaragua";"Salve a ti, Nicaragua";"Salomón Ibarra Mayorga";"Luis A. Delgadillo"
"Niger";"La Nigérienne";"Maurice Albert Thiriet";"Robert Jacquet and Nicolas Abel François Frionnet"
"Nigeria";"Arise, O Compatriots";"John A. Ilechukwu, Eme Etim Akpan, B. A. Ogunnaike, Sotu Omoigui, and P. O. Aderibighe";"Nigerian Police Band"
"Norway";"Ja, vi elsker dette landet";"Bjørnstjerne Bjørnson";"Rikard Nordraak"
"Oman";"Nashid as-Salaam as-Sultani";"Rashid bin Uzayyiz Al Khusaidi";"James Frederick Mills, arranged by Bernard Ebbinghaus"
"Pakistan";"Qaumī Tarāna";"Hafeez Jullundhri";"Ahmed Ghulamali Chagla"
"Palau";"Belau rekid";"multiple";"Ymesei O. Ezekiel"
"Panama";"Himno Istmeño";"Jeronimo de la Ossa";"Santos Jorge"
"Papua New Guinea";"O Arise, All You Sons";"Tom Shacklady";"Tom Shacklady"
"Paraguay";"Paraguayos, República o Muerte";"Francisco Acuña de Figueroa";"Francisco José Debali"
"Peru";"Himno Nacional del Perú";"José de la Torre Ugarte y Alarcón";"Jose Bernardo Alcedo"
"Philippines";"Lupang Hinirang";"José Palma";"Julián Felipe"
"Poland";"Mazurek Dąbrowskiego";"Józef Wybicki";"unknown"
"Portugal";"A Portuguesa";"Henrique Lopes de Mendonça";"Alfredo Keil"
"Qatar";"As Salam al Amiri";"Sheikh Mubarak bin Saïf al-Thani";"Abdul Aziz Nasser Obaidan"
"Romania";"Deșteaptă-te, române!";"Andrei Mureşanu";"Anton Pann and Gheorghe Ucenescu"
"Russian Federation";"Gosudarstvenny Gimn Rossiyskoy Federatsii";"Sergey Mikhalkov";"Alexander Vasilyevich Alexandrov"
"Rwanda";"Rwanda Nziza";"Faustin Murigo";"Jean-Bosco Hashakimana"
"Saint Kitts and Nevis";"O Land of Beauty!";"Kenrick Georges";"Kenrick Georges"
"Saint Lucia";"Sons and Daughters of Saint Lucia";"Charles Jesse";"Leton Felix Thomas"
"Saint Vincent and the Grenadines";"Saint Vincent Land so Beautiful";"Phyllis Punnett";"Joel Bertram Miguel"
"Samoa";"The Banner of Freedom";"Sauni Iiga Kuresa";"Sauni Iiga Kuresa"
"San Marino";"Inno Nazionale della Repubblica";"Federico Consolo";"Federico Consolo"
"São Tomé and Príncipe";"Independência total";"Alda Neves da Graça do Espírito Santo";"Manuel dos Santos Barreto de Sousa e Almeida"
"Saudi Arabia";"As-Salam Al Malaki";"Ibrahim Khafaji";"Abdul Rahman Al-Khateeb"
"Senegal";"Pincez Tous vos Koras, Frappez les Balafons";"Léopold Sédar Senghor";"Herbert Pepper"
"Serbia";"Bože pravde";"Jovan Đorđević";"Davorin Jenko"
"Seychelles";"Koste Seselwa";"David François Marc André and George Charles Robert Payet";"David François Marc André and George Charles Robert Payet"
"Sierra Leone";"High We Exalt Thee, Realm of the Free";"Clifford Nelson Fyle";"John Akar"
"Singapore";"Majulah Singapura";"Zubir Said";"Zubir Said"
"Slovakia";"Nad Tatrou sa blýska";"Janko Matúška";"folk tune"
"Slovenia";"Zdravljica";"France Prešeren";"Stanko Premrl"
"Solomon Islands";"God Save Our Solomon Islands";"Panapasa Balekana and Matila Balekana";"Panapasa Balekana"
"Somalia";"Qolobaa Calankeed";"Abdullahi Qarshe";"Abdullahi Qarshe"
"South Africa";"National anthem of South Africa";"Enoch Sontonga and C. J. Langenhoven";"Enoch Sontonga and Marthinus Lourens de Villiers"
"South Sudan";"South Sudan Oyee!";"Students and teachers of Juba University";"Students and teachers of Juba University"
"Spain";"La Marcha Real";"none";"unknown"
"Sri Lanka";"Sri Lanka Matha";"Ananda Samarakoon";"Ananda Samarakoon"
"Sudan";"Nahnu Jund Allah Jund Al-watan";"Sayyed Ahmed Mohammed Salih";"Ahmed Murjan"
"Suriname";"God zij met ons Suriname";"Cornelis Atses Hoekstra and Henry de Ziel,";"Johannes Corstianus de Puy"
"Swaziland";"Nkulunkulu Mnikati wetibusiso temaSwati";"Andrease Enoke Fanyana Simelane";"David Kenneth Rycroft"
"Sweden";"Du gamla, Du fria";"Richard Dybeck";"folk tune"
"Switzerland";"Schweizerpsalm";"Leonhard Widmer";"Alberich Zwyssig"
"Syria";"Humāt ad-Diyār";"Khalil Mardam Bey";"Mohammed Flayfel and Ahmad Salim Flayfel"
"Tajikistan";"Surudi Milli";"Gulnazar Keldi";"Suleiman Yudakov"
"Tanzania";"Mungu ibariki Afrika";"collectively";"Enoch Sontonga"
"Thailand";"Phleng Chat";"Luang Saranupraphan";"Peter Feit"
"Togo";"Salut à toi, pays de nos aïeux";"Alex Casimir-Dosseh";"Alex Casimir-Dosseh"
"Tonga";"Ko e fasi ʻo e tuʻi ʻo e ʻOtu Tonga";"Uelingatoni Ngū Tupoumalohi";"Karl Gustavus Schmitt"
"Trinidad and Tobago";"Forged from the Love of Liberty";"Patrick Castagne";"Patrick Castagne"
"Tunisia";"Humat al-Hima";"Mustafa Sadiq Al-Rafi'i and Aboul-Qacem Echebbi";"Mohammed Abdelwahab"
"Turkey";"İstiklâl Marşı";"Mehmet Akif Ersoy";"Osman Zeki Üngör"
"Turkmenistan";"Garaşsyz, Bitarap Türkmenistanyň Döwlet Gimni";"collectively";"Veli Mukhatov"
"Tuvalu";"Tuvalu mo te Atua";"Afaese Manoa";"Afaese Manoa"
"Uganda";"Oh Uganda, Land of Beauty";"George Wilberforce Kakoma";"George Wilberforce Kakoma"
"Ukraine";"Shche ne vmerla Ukraina";"Pavlo Chubynsky";"Mykhaylo Verbytsky"
"United Arab Emirates";"Ishy Biladi";"Arif Al Sheikh Abdullah Al Hassan";"Saad Abdel Wahab"
"United Kingdom";"God Save the Queen";"unknown";"unknown"
"United States";"The Star-Spangled Banner";"Francis Scott Key";"John Stafford Smith"
"Uruguay";"Himno Nacional";"Francisco Acuña de Figueroa";"Francisco José Debali"
"Uzbekistan";"O`zbekiston Respublikasining Davlat Madhiyasi";"Abdulla Aripov";"Mutal Burhanov"
"Vanuatu";"Yumi, Yumi, Yumi";"François Vincent Ayssav";"François Vincent Ayssav"
"Vatican City";"Marche Pontificale";"Antonio Allegra";"Charles Gounod"
"Venezuela";"Gloria al Bravo Pueblo";"Vicente Salias";"Juan José Landaeta"
"Vietnam";"Tiến Quân Ca";"Văn Cao";"Văn Cao"
"Yemen";"National anthem of Yemen";"Abdallah Abdulwahab Noman";"Ayoob Tarish"
"Zambia";"Stand and Sing of Zambia, Proud and Free";"collectively";"Enoch Sontonga"
"Zimbabwe";"Simudzai Mureza WeZimbabwe";"Solomon Mutswairo";"Fred Changundega"
"(Nation)";"(National anthem)";"(Lyrics writer)";"(Music writer)"

