"Amelia Cathedral";"Terni-Narni-Amelia";"Amelia, Terni, Umbria";"Saint Firmina"
"Anagni Cathedral";"Anagni-Alatri";"Anagni, Frosinone, Lazio";"Annunciation of the Blessed Virgin Mary"
"Ancona Cathedral";"Ancona-Osimo";"Ancona, Marche";"Saint Cyriacus of Ancona"
"Andria Cathedral";"Andria";"Andria, Bari, Apulia";"Assumption of the Blessed Virgin Mary"
"Aosta Cathedral";"Aosta";"Aosta, Valle d’Aosta";"Saint John the Baptist"
"Aquileia Cathedral";"Gorizia";"Aquileia, Friuli-Venezia Giulia";"Assumption of the Blessed Virgin Mary"
"Aquino Cathedral";"Sora-Aquino-Pontecorvo";"Aquino, Frosinone, Lazio";"Saint Constantius"
"Arezzo Cathedral";"Arezzo-Cortona-Sansepolcro";"Arezzo, Tuscany";"Saint Donatus and Saint Peter"
"Ariano Cathedral";"Ariano Irpino-Lacedonia";"Ariano Irpino, Avellino, Campania";"Assumption of the Blessed Virgin Mary"
"Ascoli Piceno Cathedral";"Ascoli Piceno";"Ascoli Piceno, Marche";"Mary, Mother of God"
"Ascoli Satriano Cathedral";"Cerignola-Ascoli Satriano";"Ascoli Satriano, Foggia, Apulia";"Nativity of the Blessed Virgin Mary"
"Assisi Cathedral";"Assisi-Nocera Umbra-Gualdo Tadino";"Assisi, Perugia, Umbria";"Saint Rufinus"
"Asti Cathedral";"Asti";"Asti, Piedmont";"Assumption of the Blessed Virgin Mary"
"Atri Cathedral";"Teramo-Atri";"Atri, Teramo, Abruzzo";"Assumption of the Blessed Virgin Mary"
"Avellino Cathedral";"Avellino";"Avellino, Campania";"Assumption of the Blessed Virgin Mary"
"Aversa Cathedral";"Aversa";"Aversa, Caserta, Campania";"Saint Paul"
"Avezzano Cathedral";"Avezzano";"Avezzano, L’Aquila, Abruzzo";"Saint Bartholomew"
"Bagnoregio Cathedral";"Viterbo";"Bagnoregio, Viterbo, Lazio";"Saint Bonaventure"
"Bari Cathedral";"Bari-Bitonto";"Bari, Apulia";"Saint Sabinus of Canosa"
"Basilica of San Nicola, Bari";"Bari-Bitonto";"Bari, Apulia";"Saint Nicholas of Bari"
"Barletta Cathedral";"Trani-Barletta-Bisceglie";"Barletta, Bari, Apulia";"Saint Mary Major"
"Belcastro Cathedral";"Crotone-Santa Severina";"Belcastro, Crotone, Calabria";"Saint Michael"
"Belluno Cathedral";"Belluno-Feltre";"Belluno, Veneto";"Saint Martin"
"Benevento Cathedral";"Benevento";"Benevento, Campania";"Assumption of the Blessed Virgin Mary"
"Bergamo Cathedral";"Bergamo";"Bergamo, Lombardy";"Saint Alexander of Bergamo"
"Bertinoro Cathedral";"Forlì-Bertinoro";"Bertinoro, Forlì, Emilia Romagna";"Saint Catherine"
"Bevagna Cathedral";"Foligno";"Bevagna, Umbria";"Saint Michael"
"Biella Cathedral";"Biella";"Biella, Piedmont";"Saint Stephen"
"Bisaccia Cathedral";"Sant'Angelo dei Lombardi-Conza-Nusco-Bisaccia";"Bisaccia, Avellino, Campania";"Nativity of the Blessed Virgin Mary"
"Bisceglie Cathedral";"Trani-Barletta-Bisceglie";"Bisceglie, Bari, Apulia";"Saint Peter"
"Bisignano Cathedral";"Cosenza-Bisignano";"Bisignano, Cosenza, Calabria";"Assumption of the Blessed Virgin Mary"
"Bitonto Cathedral";"Bari-Bitonto";"Bitonto, Bari, Apulia";"Saint Valentine"
"Bobbio Cathedral";"Piacenza-Bobbio";"Bobbio, Piacenza, Emilia Romagna";"Assumption of the Blessed Virgin Mary"
"Boiano Cathedral";"Campobasso-Boiano";"Boiano, Campobasso, Molise";"Saint Bartholomew"
"Bologna Cathedral";"Bologna";"Bologna, Emilia Romagna";"Saint Peter"
"Bolzano Cathedral";"Bolzano-Brixen";"Bolzano, Trentino-Alto Adige/South Tyrol";"Assumption of the Blessed Virgin Mary"
"Bosa Cathedral";"Alghero-Bosa";"Bosa, Sassari, Sardinia";"Immaculate Conception"
"Bova Cathedral";"Reggio Calabria-Bova";"Bova, Reggio di Calabria, Calabria";"Presentation of the Virgin Mary"
"Bovino Cathedral";"Foggia-Bovino";"Bovino, Foggia, Apulia";"Assumption of the Blessed Virgin Mary"
"Brescello Cathedral";"Reggio Emilia-Guastalla";"Brescello, Reggio nell’Emilia, Emilia Romagna";"Nativity of the Blessed Virgin Mary"
"Brescia Cathedral (New)";"Brescia";"Brescia, Lombardy";"Assumption of the Blessed Virgin Mary"
"Brescia Cathedral (Old)";"Brescia";"Brescia, Lombardy";" ?"
"Brindisi Cathedral";"Brindisi-Ostuni";"Brindisi, Apulia";"Visitation of the Blessed Virgin Mary"
"(Cathedral)";"(Diocese)";"(Location)";"(Dedication)"
