"http://dbpedia.org/class/yago/FormulaOneCircuits";"http://dbpedia.org/ontology/Race,http://dbpedia.org/ontology/SportsEvent";"http://dbpedia.org/class/yago/Clockwise";"http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/PopulatedPlace";"http://dbpedia.org/ontology/Race,http://dbpedia.org/ontology/SportsEvent"
"Long Beach street circuit";"Street";"Clockwise";"Long Beach, United States";"United States Grand Prix West"
"Circuit de Nevers Magny-Cours";"Race";"Clockwise";"Nevers, France";"French Grand Prix"
"Marina Bay Street Circuit";"Street";"Anti-clockwise";"Singapore";"Singapore Grand Prix"
"Circuito de Monsanto";"Street";"Clockwise";"Lisbon, Portugal";"Portuguese Grand Prix"
"Circuit de Monaco";"Street";"Clockwise";"Monaco";"Monaco Grand Prix"
"Montjuïc circuit";"Street";"Anti-clockwise";"Barcelona, Spain";"Spanish Grand Prix"
"Circuit Mont-Tremblant";"Race";"Clockwise";"Mont-Tremblant,Canada";"Canadian Grand Prix"
"Autodromo Nazionale Monza";"Race";"Clockwise";"Monza, Italy";"Italian Grand Prix"
"Mosport International Raceway";"Race";"Clockwise";"Bowmanville, Canada";"Canadian Grand Prix"
"Nivelles-Baulers";"Race";"Clockwise";"Nivelles, Belgium";"Belgian Grand Prix"
"Nürburgring ";"Road";"Clockwise";"Nürburg, Germany";"German Grand Prix,European Grand Prix,Luxembourg Grand Prix"
"Autódromo Juan y Oscar Gálvez";"Road";"Clockwise";"Buenos Aires,Argentina";"Argentine Grand Prix"
"Österreichring";"Race";"Clockwise";"Zeltweg, Austria";"Austrian Grand Prix"
"Circuit Paul Ricard";"Race";"Clockwise";"Castellet, France";"French Grand Prix"
"Pedralbes Circuit";"Street";"Clockwise";"Barcelona, Spain";"Spanish Grand Prix"
"Pescara Circuit";"Road";"Clockwise";"Pescara, Italy";"Pescara Grand Prix"
"Phoenix street circuit";"Street";"Anti-clockwise";"Phoenix, United States";"United States Grand Prix"
"Prince George Circuit";"Race";"Clockwise";"East London, South Africa";"South African Grand Prix"
"Reims-Gueux";"Road";"Clockwise";"Reims, France";"French Grand Prix"
"Riverside International Raceway";"Race";"Clockwise";"Riverside, United States";"United States Grand Prix"
"Rouen-Les-Essarts";"Road";"Clockwise";"Rouen, France";"French Grand Prix"
"Scandinavian Raceway";"Race";"Clockwise";"Anderstorp, Sweden";"Swedish Grand Prix"
"Sebring International Raceway";"Road";"Clockwise";"Sebring, United States";"United States Grand Prix"
"Sepang International Circuit";"Race";"Clockwise";"Kuala Lumpur,Malaysia";"Malaysian Grand Prix"
"Shanghai International Circuit";"Race";"Clockwise";"Shanghai, China";"Chinese Grand Prix"
"Silverstone Circuit";"Race";"Clockwise";"Silverstone, United Kingdom";"British Grand Prix"
"Circuit de Spa-Francorchamps";"Road";"Clockwise";"Spa, Belgium";"Belgian Grand Prix"
"Suzuka Circuit";"Race";"Both";"Suzuka, Japan";"Japanese Grand Prix"
"Tanaka International Circuit";"Race";"Clockwise";"Aida, Japan";"Pacific Grand Prix"
"Valencia Street Circuit";"Street";"Clockwise";"Valencia, Spain";"European Grand Prix"
"Watkins Glen";"Road";"Clockwise";"Watkins Glen, United States";"United States Grand Prix"
"Yas Marina Circuit";"Race";"Anti-clockwise";"Abu Dhabi, United Arab Emirates";"Abu Dhabi Grand Prix"
"Circuit Park Zandvoort";"Race";"Clockwise";"Zandvoort,Netherlands";"Dutch Grand Prix"
"Zeltweg Airfield";"Road";"Clockwise";"Zeltweg, Austria";"Austrian Grand Prix"
"Circuit Zolder";"Race";"Clockwise";"Heusden-Zolder,Belgium";"Belgian Grand Prix"
"(Circuit)";"(Type)";"(Direction)";"(Location)";"(Grand Prix)"
